估计零点与真实零点的虚部比较 (前1000个),,,,,虚部误差较大的零点的编号 (前76个),,,各个零点的计算耗时 (前1000个),,,,前N个零点的计算总耗时,,,,
零点序号,估算零点虚部,真实零点虚部,虚部误差,,零点序号,虚部误差,,零点序号,估值计算耗时(秒),Python库计算耗时(秒),,测试对象,估计总耗时(秒),Python库总耗时(秒),(估计)平均每个零点耗时(秒),(库)平均每个零点耗时(秒)
109,251.0149675,251.0149478,0.00001967,,,,,109,5.49E-05,7.46E-02,,,,,,
110,253.0700606,253.0699868,0.00007389,,,,,110,4.43E-05,6.64E-02,,,,,,
111,255.3062812,255.3062565,0.00002478,,,,,111,3.99E-05,7.68E-02,,,,,,
112,256.3807652,256.3807137,0.00005145,,,,,112,3.15E-05,8.80E-02,,,,,,
113,258.610495,258.6104395,0.00005548,,,,,113,5.11E-05,8.18E-02,,,,,,
114,260.805158,259.874407,0.93075101,,,,,114,4.64E-05,8.75E-02,,,,,,
115,260.8051376,260.8050845,0.00005312,,,,,115,3.28E-05,7.74E-02,,,,,,
116,263.5739617,263.5738939,0.00006779,,,,,116,3.61E-05,8.56E-02,,,,,,
117,265.5578755,265.5578518,0.00002362,,,,,117,4.40E-05,7.43E-02,,,,,,
118,266.6150105,266.6149738,0.00003675,,,,,118,3.24E-05,7.94E-02,,,,,,
119,267.9219524,267.9219151,0.0000373,,,,,119,2.94E-05,8.89E-02,,,,,,
120,269.9705013,269.970449,0.00005228,,,,,120,3.05E-05,8.56E-02,,,,,,
121,271.4940867,271.4940556,0.00003104,,,,,121,2.83E-05,8.93E-02,,,,,,
122,273.4596707,273.4596092,0.00006146,,,,,122,3.12E-05,7.50E-02,,,,,,
123,275.5875071,275.5874927,0.00001445,,,,,123,3.76E-05,7.82E-02,,,,,,
124,276.4521079,276.4520495,0.00005841,,,,,124,3.93E-05,9.05E-02,,,,,,
125,279.230071,278.2507435,0.97932742,,,,,125,3.87E-05,8.72E-02,,,,,,
126,279.2293257,279.2292509,0.00007481,,,,,126,3.25E-05,8.31E-02,,,,,,
127,282.4652144,282.4651148,0.00009967,,,,,127,3.43E-05,7.74E-02,,,,,,
128,283.2111443,283.2111857,0.00004144,,,,,128,3.63E-05,9.42E-02,,,,,,
129,284.8360302,284.835964,0.00006618,,,,,129,3.62E-05,8.75E-02,,,,,,
130,286.667469,286.6674454,0.00002359,,,,,130,3.91E-05,8.09E-02,,,,,,
131,287.9119541,287.9119205,0.00003355,,,,,131,3.42E-05,8.33E-02,,,,,,
132,289.5799027,289.5798549,0.00004781,,,,,132,3.18E-05,8.79E-02,,,,,,
133,291.8463391,291.8462913,0.00004781,,,,,133,3.28E-05,8.41E-02,,,,,,
134,293.5584722,293.5584341,0.00003801,,,,,134,3.29E-05,8.23E-02,,,,,,
135,295.5733158,294.9653696,0.60794618,,,,,135,3.54E-05,8.90E-02,,,,,,
136,295.5147421,295.5732549,0.05851274,,,,,136,3.51E-05,7.47E-02,,,,,,
137,297.979325,297.9792771,0.00004793,,,,,137,2.98E-05,7.93E-02,,,,,,
138,299.8403631,299.8403261,0.00003706,,,,,138,3.44E-05,7.59E-02,,,,,,
139,301.6493648,301.6493255,0.00003934,,,,,139,4.92E-05,8.77E-02,,,,,,
140,302.6967659,302.6967496,0.00001629,,,,,140,3.39E-05,9.00E-02,,,,,,
141,304.8634597,304.8643713,0.00091162,,,,,141,3.12E-05,8.73E-02,,,,,,
142,305.7289434,305.7289126,0.00003075,,,,,142,3.78E-05,9.85E-02,,,,,,
143,307.2195841,307.2194961,0.000088,,,,,143,3.53E-05,7.93E-02,,,,,,
144,310.1095171,310.1094632,0.00005391,,,,,144,2.98E-05,8.81E-02,,,,,,
145,311.1651331,311.1651415,0.00000843,,,,,145,3.10E-05,8.10E-02,,,,,,
146,312.4278606,312.4278012,0.00005937,,,,,146,5.29E-05,8.78E-02,,,,,,
147,313.9852915,313.9852857,0.00000579,,,,,147,3.42E-05,8.46E-02,,,,,,
148,315.4756751,315.4756161,0.00005902,,,,,148,3.79E-05,8.80E-02,,,,,,
149,317.7348221,317.7348059,0.00001615,,,,,149,3.06E-05,8.09E-02,,,,,,
150,318.8531511,318.8531043,0.00004685,,,,,150,4.10E-05,7.99E-02,,,,,,
151,321.1601634,321.1601343,0.00002911,,,,,151,3.28E-05,8.33E-02,,,,,,
152,322.1445925,322.1445587,0.00003386,,,,,152,3.96E-05,8.61E-02,,,,,,
153,323.466978,323.4669696,0.00000848,,,,,153,3.24E-05,1.05E-01,,,,,,
154,324.8629185,324.8628661,0.00005241,,,,,154,4.23E-05,7.42E-02,,,,,,
155,327.4439502,327.4439013,0.00004893,,,,,155,5.32E-05,9.28E-02,,,,,,
156,329.0330843,329.0330717,0.00001262,,,,,156,3.26E-05,8.86E-02,,,,,,
157,329.953267,329.9532397,0.00002722,,,,,157,3.34E-05,8.44E-02,,,,,,
158,331.4745068,331.4744676,0.00003923,,,,,158,3.28E-05,7.48E-02,,,,,,
159,334.2115774,333.6453785,0.56619889,,,,,159,4.77E-05,1.15E-01,,,,,,
160,334.2113857,334.2113548,0.00003084,,,,,160,4.13E-05,1.03E-01,,,,,,
161,336.8419082,336.8418504,0.00005772,,,,,161,3.56E-05,8.76E-02,,,,,,
162,338.3399909,338.3399929,0.00000196,,,,,162,3.40E-05,9.16E-02,,,,,,
163,339.8582884,339.8582167,0.00007166,,,,,163,3.88E-05,8.27E-02,,,,,,
164,342.0563089,341.0422611,1.01404779,,,,,164,4.10E-05,8.99E-02,,,,,,
165,342.054945,342.0548775,0.0000675,,,,,165,4.45E-05,8.47E-02,,,,,,
166,344.6617446,344.6617029,0.00004166,,,,,166,4.55E-05,8.52E-02,,,,,,
167,346.3478869,346.3478706,0.00001632,,,,,167,6.75E-05,8.13E-02,,,,,,
168,347.2727087,347.2726776,0.00003109,,,,,168,7.28E-05,1.01E-01,,,,,,
169,349.316284,349.3162609,0.00002308,,,,,169,3.48E-05,8.56E-02,,,,,,
170,350.4084352,350.4084194,0.00001586,,,,,170,4.88E-05,7.90E-02,,,,,,
171,351.8786789,351.878649,0.00002986,,,,,171,4.93E-05,9.06E-02,,,,,,
172,353.4889379,353.4889005,0.00003741,,,,,172,3.92E-05,1.13E-01,,,,,,
173,356.0176366,356.017575,0.00006159,,,,,173,3.34E-05,1.18E-01,,,,,,
174,357.1512523,357.1513023,0.00004995,,,,,174,5.91E-05,1.12E-01,,,,,,
175,357.9527497,357.9526851,0.00006459,,,,,175,5.25E-05,1.27E-01,,,,,,
176,359.7437733,359.743755,0.00001838,,,,,176,4.16E-05,1.21E-01,,,,,,
177,361.2894014,361.2893617,0.00003972,,,,,177,4.66E-05,1.03E-01,,,,,,
178,363.3313608,363.3313306,0.00003026,,,,,178,3.23E-05,1.24E-01,,,,,,
179,364.7360508,364.7360241,0.0000267,,,,,179,3.05E-05,1.20E-01,,,,,,
180,366.2127344,366.2127103,0.00002407,,,,,180,4.52E-05,1.02E-01,,,,,,
181,367.9935504,367.9935755,0.00002506,,,,,181,4.53E-05,1.27E-01,,,,,,
182,368.5307079,368.9684381,0.4377302,,,,,182,6.44E-05,1.33E-01,,,,,,
183,370.05098,370.0509192,0.00006076,,,,,183,4.13E-05,1.31E-01,,,,,,
184,373.0619845,373.0619284,0.00005612,,,,,184,3.56E-05,1.23E-01,,,,,,
185,373.8648673,373.8648739,0.00000663,,,,,185,5.06E-05,1.24E-01,,,,,,
186,376.3759813,375.8259128,0.55006855,,,,,186,6.01E-05,1.16E-01,,,,,,
187,376.3240816,376.3240922,0.00001062,,,,,187,3.13E-05,1.23E-01,,,,,,
188,378.4367204,378.4366803,0.00004017,,,,,188,3.15E-05,1.20E-01,,,,,,
189,379.8729924,379.8729754,0.00001706,,,,,189,5.33E-05,1.05E-01,,,,,,
190,381.4845041,381.4844686,0.00003547,,,,,190,4.96E-05,1.21E-01,,,,,,
191,383.4435623,383.4435295,0.00003287,,,,,191,4.16E-05,1.08E-01,,,,,,
192,384.9561228,384.9561168,0.00000603,,,,,192,4.28E-05,1.24E-01,,,,,,
193,385.8613298,385.8613009,0.00002897,,,,,193,5.23E-05,1.17E-01,,,,,,
194,387.2229083,387.2228902,0.00001811,,,,,194,4.17E-05,1.15E-01,,,,,,
195,388.8461679,388.8461284,0.00003951,,,,,195,3.05E-05,1.36E-01,,,,,,
196,391.4561413,391.4560836,0.00005775,,,,,196,3.60E-05,1.12E-01,,,,,,
197,392.2450557,392.2450833,0.00002767,,,,,197,3.59E-05,1.15E-01,,,,,,
198,393.4277927,393.4277438,0.00004882,,,,,198,4.33E-05,1.26E-01,,,,,,
199,395.5817394,395.58287,0.00113063,,,,,199,3.21E-05,1.30E-01,,,,,,
200,396.3818787,396.3818542,0.00002452,,,,,200,3.20E-05,1.12E-01,,,,,,
201,397.9187601,397.9187362,0.0000239,,,,,201,3.23E-05,1.08E-01,,,,,,
