x,pi,Li,ratio1,ratio2
2600,378,391.313,0.965979,1.1432
2635,382,395.76,0.965231,1.14189
2671,387,400.327,0.966711,1.14321
2707,394,404.885,0.973115,1.15036
2744,400,409.563,0.976651,1.15411
2781,404,414.232,0.975299,1.15209
2819,410,419.02,0.978474,1.15541
2857,415,423.799,0.979238,1.15589
2895,418,428.57,0.975336,1.15087
2935,423,433.584,0.975589,1.15074
2974,429,438.465,0.978414,1.15366
3015,432,443.587,0.973879,1.1479
3056,437,448.7,0.973924,1.14753
3097,442,453.805,0.973986,1.1472
3139,446,459.026,0.971623,1.14401
3181,450,464.238,0.969331,1.14091
3225,456,469.689,0.970855,1.14229
3268,461,475.007,0.970511,1.14149
3312,465,480.44,0.967862,1.13797
3357,472,485.988,0.971218,1.14152
3403,478,491.649,0.972239,1.14231
3449,482,497.3,0.969233,1.13839
3496,488,503.065,0.970053,1.13895
3543,496,508.821,0.974803,1.14414
3591,502,514.689,0.975346,1.14438
3640,509,520.67,0.977587,1.14661
3689,514,526.641,0.975997,1.14436
3739,522,532.724,0.97987,1.14851
3790,526,538.918,0.97603,1.14362
3841,532,545.102,0.975964,1.14315
3893,539,551.398,0.977516,1.14459
3946,547,557.803,0.980632,1.14785
3999,550,564.199,0.974834,1.14068
4053,559,570.704,0.979491,1.14575
4108,565,577.32,0.97866,1.1444
4164,573,584.045,0.98109,1.14686
4220,578,590.758,0.978403,1.14334
4278,587,597.701,0.982097,1.14728
4335,591,604.513,0.977647,1.14171
4394,598,611.552,0.97784,1.14156
4454,605,618.699,0.977858,1.14121
4514,612,625.835,0.977893,1.14088
4575,619,633.078,0.977762,1.14036
4637,625,640.429,0.975909,1.13783
4700,634,647.886,0.978568,1.14057
4764,641,655.449,0.977956,1.13949
4828,649,663,0.978884,1.14021
4894,654,670.775,0.974992,1.13531
4960,663,678.537,0.977102,1.13741
5027,674,686.405,0.981928,1.14267
5095,680,694.377,0.979295,1.13925
5164,687,702.454,0.978,1.13739
5234,696,710.635,0.979405,1.13867
5305,703,718.92,0.977855,1.13652
5377,708,727.309,0.973451,1.13105
5450,721,735.801,0.979885,1.13817
5524,730,744.395,0.980662,1.13872
5598,738,752.976,0.98011,1.13774
5674,747,761.776,0.980603,1.13796
5751,757,770.677,0.982253,1.13953
5829,765,779.68,0.981172,1.13793
5908,777,788.784,0.98506,1.1421
5988,783,797.989,0.981216,1.1373
6069,791,807.295,0.979815,1.13534
6151,802,816.701,0.981999,1.13753
6235,811,826.322,0.981458,1.13656
6319,822,835.928,0.983338,1.13841
6405,834,845.747,0.98611,1.14128
6492,842,855.666,0.984029,1.13853
6580,851,865.683,0.983039,1.13705
6669,859,875.798,0.98082,1.13416
6759,869,886.012,0.9808,1.13381
6851,881,896.436,0.982781,1.13576
6943,890,906.845,0.981425,1.13387
7037,904,917.463,0.985325,1.13805
7133,914,928.292,0.984604,1.13689
7229,924,939.103,0.983917,1.13578
7327,933,950.124,0.981977,1.13322
7427,941,961.352,0.97883,1.12926
7527,953,972.563,0.979885,1.13016
7629,968,983.982,0.983758,1.13431
7733,981,995.606,0.985329,1.1358
7837,990,1007.21,0.98291,1.1327
7943,1003,1019.03,0.984273,1.13395
8051,1011,1031.04,0.98056,1.12936
8160,1023,1043.15,0.980679,1.12919
8271,1037,1055.47,0.982501,1.13097
8383,1049,1067.88,0.982324,1.13046
8496,1059,1080.38,0.980215,1.12772
8611,1072,1093.08,0.980718,1.128
8728,1087,1105.98,0.982839,1.13013
8846,1102,1118.97,0.984831,1.13211
8966,1114,1132.17,0.983952,1.1308
9088,1127,1145.56,0.983795,1.13031
9211,1142,1159.05,0.985291,1.13173
9335,1154,1172.62,0.984119,1.13008
9462,1171,1186.51,0.986932,1.13301
9590,1184,1200.48,0.986275,1.13196
9720,1198,1214.64,0.986297,1.13168
9852,1215,1229.01,0.9886,1.13403
9985,1229,1243.46,0.988369,1.13347
10120,1242,1258.11,0.987193,1.13182
10257,1257,1272.96,0.987465,1.13184
10396,1273,1288,0.988357,1.13257
10537,1288,1303.23,0.988314,1.13223
10680,1302,1318.66,0.987368,1.13085
10825,1315,1334.28,0.985553,1.12848
10971,1331,1349.98,0.985939,1.12864
11120,1348,1365.99,0.986832,1.12937
11271,1362,1382.18,0.985398,1.12745
11423,1378,1398.46,0.985368,1.12713
11578,1392,1415.04,0.983718,1.12496
11735,1408,1431.81,0.983373,1.12428
11894,1424,1448.76,0.982907,1.12347
12055,1444,1465.91,0.985055,1.12564
12218,1460,1483.24,0.984331,1.12454
12384,1478,1500.87,0.984763,1.12475
12551,1499,1518.58,0.987109,1.12715
12721,1519,1536.58,0.988561,1.12853
12894,1534,1554.87,0.986579,1.12599
13068,1556,1573.24,0.989042,1.12853
13245,1574,1591.9,0.988755,1.12793
13425,1592,1610.85,0.988297,1.12713
13607,1608,1629.99,0.986511,1.12482
13791,1631,1649.3,0.988902,1.12728
13978,1650,1668.91,0.98867,1.12675
14167,1667,1688.7,0.987153,1.12475
14359,1683,1708.77,0.98492,1.12194
14554,1705,1729.13,0.986048,1.12295
14751,1727,1749.66,0.987048,1.12383
14951,1751,1770.48,0.988996,1.12578
15153,1770,1791.48,0.988009,1.12439
15358,1793,1812.76,0.989097,1.12537
15566,1815,1834.33,0.989464,1.12552
15777,1840,1856.17,0.991288,1.12734
15991,1862,1878.29,0.991325,1.12712
16208,1883,1900.7,0.99069,1.12614
16427,1904,1923.27,0.989979,1.12507
16650,1925,1946.23,0.989091,1.1238
16875,1945,1969.36,0.987629,1.12189
17104,1971,1992.87,0.989024,1.12322
17336,1993,2016.66,0.988268,1.1221
17570,2019,2040.62,0.989407,1.12314
17808,2043,2064.95,0.98937,1.12285
18050,2069,2089.66,0.990114,1.12344
18294,2096,2114.54,0.991233,1.12446
18542,2124,2139.79,0.992621,1.12578
18793,2144,2165.31,0.990158,1.12274
19048,2163,2191.21,0.987128,1.11905
19306,2188,2217.37,0.986755,1.11839
19567,2219,2243.8,0.988948,1.12063
19832,2243,2270.6,0.987846,1.11913
20101,2272,2297.76,0.988787,1.11995
20373,2302,2325.2,0.990024,1.12111
20649,2327,2353,0.988952,1.11965
20929,2354,2381.16,0.988595,1.11901
21212,2385,2409.58,0.989797,1.12013
21500,2412,2438.47,0.989143,1.11915
21791,2444,2467.62,0.990426,1.12036
22086,2475,2497.14,0.991135,1.12092
22385,2505,2527.01,0.991291,1.12086
22689,2533,2557.34,0.990483,1.11971
22996,2564,2587.93,0.990754,1.11978
23307,2598,2618.87,0.99203,1.12099
23623,2628,2650.27,0.991595,1.12026
23943,2663,2682.03,0.992904,1.1215
24267,2699,2714.14,0.994421,1.12298
24596,2726,2746.7,0.992462,1.12054
24929,2755,2779.62,0.991143,1.11882
25267,2788,2812.98,0.991119,1.11856
25609,2821,2846.7,0.990973,1.11817
25956,2856,2880.86,0.991371,1.11839
26308,2890,2915.47,0.991264,1.11804
26664,2922,2950.42,0.990366,1.1168
27025,2963,2985.82,0.992356,1.11882
27391,2993,3021.67,0.990513,1.11651
27763,3029,3058.05,0.990501,1.11627
28139,3069,3094.77,0.991672,1.11737
28520,3102,3131.94,0.990441,1.11576
28906,3146,3169.54,0.992572,1.11794
29298,3183,3207.68,0.992306,1.11742
29695,3221,3246.25,0.992221,1.1171
30097,3254,3285.26,0.990484,1.11492
30504,3293,3324.7,0.990464,1.11468
30918,3333,3364.77,0.990557,1.11457
31336,3378,3405.17,0.99202,1.116
31761,3415,3446.2,0.990946,1.11457
32191,3454,3487.66,0.99035,1.11368
32627,3502,3529.63,0.992171,1.11552
33069,3544,3572.14,0.992123,1.11525
33517,3587,3615.16,0.992211,1.11513
33971,3637,3658.7,0.994068,1.117
34431,3678,3702.76,0.993312,1.11594
34898,3725,3747.44,0.994013,1.11652
35370,3767,3792.53,0.993268,1.11547
35850,3808,3838.33,0.992098,1.11394
36335,3855,3884.55,0.992393,1.11407
36827,3905,3931.37,0.993291,1.11486
37326,3952,3978.8,0.993263,1.11462
37832,4001,4026.84,0.993584,1.11478
38344,4048,4075.38,0.993282,1.11423
38864,4094,4124.62,0.992577,1.11323
39390,4147,4174.36,0.993446,1.114
39924,4196,4224.79,0.993185,1.1135
40465,4241,4275.82,0.991856,1.11181
41013,4292,4327.45,0.991808,1.11155
41568,4346,4379.67,0.992313,1.11192
42131,4404,4432.57,0.993554,1.1131
